id,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
69,Programming Fundamentals Lab,CL1002,BCS-1G,,1,BS,CS,CS,Core,False,"[{'day': 'Wednesday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-14'}]"
70,Programming Fundamentals Lab,CL1002,BCS-1H,,1,BS,CS,CS,Core,False,"[{'day': 'Friday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-14'}]"
71,Programming Fundamentals Lab,CL1002,BCS-1J,,1,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-15'}]"
72,Functional Eng Lab,SL1012,BCS-1A1,Filza Khan (VF),1,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-1'}, {'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-1'}]"
73,Functional Eng Lab,SL1012,BCS-1A2,Zakia Anwar (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-2'}, {'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-2'}]"
74,Functional Eng Lab,SL1012,BCS-1B1,Nokhaiz Zahra,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-3'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-3'}]"
75,Functional Eng Lab,SL1012,BCS-1B2,Zakia Anwar (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-4'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-4'}]"
76,Functional Eng Lab,SL1012,BCS-1C1,Nokhaiz Zahra,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'Eng Lab-1'}, {'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'Eng Lab-1'}]"
77,Functional Eng Lab,SL1012,BCS-1C2,Filza Khan (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'Eng Lab-2'}, {'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'Eng Lab-2'}]"
78,Functional Eng Lab,SL1012,BCS-1D1,Areeba (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-1'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-1'}]"
